Rk,School,G,W,L,W-L%,SRS,SOS,Conf W,Conf L,Home W,Home L,Away W,Away L,Tm Points,Opp Points,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
38,Cal State Fullerton,32,14,18,0.438,-5.15,-1.15,7,13,7,7,6,10,67.9,69.1,40.2,23.1,53.7,0.431,6.47,19.6,0.33,15.2,21.4,0.708,8.41,32.8,8.88,6.69,3.06,12.3,17.8
39,Cal State Northridge,34,19,15,0.559,-4.78,-4.13,9,11,9,7,9,7,75,73.6,40.1,27.6,60.7,0.455,4.85,15.8,0.307,14.9,22.3,0.668,11.8,40.1,13.9,7.44,3.35,14.1,20.8
40,California,32,13,19,0.406,4.94,8,9,11,10,6,3,8,74,77,40.9,26,61.9,0.421,8.78,26,0.338,13.1,18.1,0.727,10.7,37.2,12.1,6.03,2.59,11.6,17.3
41,California Baptist,33,16,17,0.485,-2.32,-2.26,8,12,11,7,4,9,67.3,66.6,40.3,23.1,56.3,0.41,6.67,20.4,0.326,14.5,21.2,0.683,12,37.6,11.3,4.03,2.64,11.9,15.9
42,Campbell,32,14,18,0.438,-10.62,-5.66,8,10,11,6,3,11,71,72.1,40.5,25.2,54.4,0.463,7.25,21,0.345,13.4,18.4,0.725,7.69,32.5,13.3,6.31,2.41,12,15.2
43,Canisius,32,14,18,0.438,-7.95,-4.89,8,12,8,4,3,12,70.4,72.1,40.3,26.3,59.7,0.44,7.25,21.6,0.336,10.6,16.9,0.625,12,36.9,12.5,6,3.47,13.5,16.3
44,Central Arkansas,32,9,23,0.281,-15.7,-5.64,5,11,5,10,4,13,72.2,78.2,40.2,25.5,61.4,0.416,8,23.3,0.343,13.1,17.7,0.74,11.2,36.4,13.7,7.03,3.28,12.7,17.1
45,Central Connecticut State,31,20,11,0.645,-8.15,-10.15,13,3,11,4,9,7,72.2,66.5,40.3,26.1,58,0.451,6.71,20.8,0.322,13.2,18.6,0.709,9.61,35.8,14.3,7.48,4.84,11.3,13.6
46,Central Michigan,32,18,14,0.563,-8.07,-3.59,12,6,10,3,7,9,66.5,70.1,41.1,24.7,58.8,0.42,6.25,20.6,0.303,10.8,16.4,0.66,10.6,36.3,11.4,6,3.72,12,16.5
47,Charleston Southern,30,10,20,0.333,-12.03,-1.59,6,10,7,7,3,12,67.6,73.7,40,23.8,57.6,0.414,6.93,21,0.331,13,17.7,0.736,10,35.5,10.2,3.83,3,12.2,17.1
48,Charlotte,31,19,12,0.613,4.09,2.42,13,5,13,2,5,7,68.7,65.6,40.3,24.1,53.4,0.452,6.48,20.5,0.317,14,18.6,0.753,8.39,32.5,13.1,5.42,3.39,9.71,15.5
49,Chattanooga,33,21,12,0.636,-0.21,-3.85,12,6,12,4,8,7,78.2,71.6,40.5,27,58,0.466,10.6,29.4,0.359,13.6,18.2,0.745,9.24,36.5,13.5,6.3,3.67,11.9,15.9
50,Chicago State,32,13,19,0.406,-9.34,-3.03,,,6,5,5,12,69.5,70.6,40.2,24.1,56.8,0.425,6.28,20,0.314,15,21.1,0.712,12.2,33.6,11.1,8.66,3.22,13.2,17.5
51,Cincinnati,37,22,15,0.595,15.06,8.49,7,11,16,5,4,8,74.7,68.2,40.5,27.6,62.4,0.443,7.57,22.9,0.33,11.9,17.2,0.688,13.3,39.5,14.6,6.49,4.43,12,15
52,Clemson NCAA,36,24,12,0.667,16.2,10.04,11,9,12,4,6,6,77.4,71.2,40.3,27.5,58.8,0.469,8.22,23.4,0.351,14.1,18.1,0.78,9.06,36.3,14.8,4.58,3.83,10.1,16.3
53,Cleveland State,36,21,15,0.583,-3.47,-4.44,11,9,14,3,6,10,75.5,72.8,40.3,27.9,62.4,0.447,6.44,19.4,0.333,13.2,19.8,0.668,12.6,35.2,13.3,8.25,3.89,10.3,18.3
54,Coastal Carolina,31,9,22,0.29,-10.47,-2.88,5,13,7,12,1,9,73.5,78.5,40.3,26.9,60.6,0.444,6.48,20.2,0.321,13.2,19.9,0.664,11.4,40.3,12.7,5.74,3.13,13.5,16
55,Colgate NCAA,35,25,10,0.714,-0.31,-5.55,16,2,13,3,10,5,71.4,64.1,40,26.5,56.5,0.469,7.77,21.6,0.359,10.5,15.4,0.681,8.17,35.6,15,6.49,3.49,10.5,13.4
56,College of Charleston NCAA,35,27,8,0.771,4.09,-2.38,15,3,13,2,10,2,80.9,73.6,40.1,28.7,65.1,0.442,10.5,30.6,0.343,12.9,17.9,0.722,13.1,39.8,15.3,6.26,3.09,9.94,15.9
57,Colorado NCAA,37,26,11,0.703,15.95,8.36,13,7,16,1,4,7,79.3,71.7,40.4,28.4,57.3,0.495,6.86,17.5,0.391,15.8,20.1,0.784,9.95,36.9,16.2,5.97,2.16,12.6,14.8
58,Colorado State NCAA,36,25,11,0.694,13.4,7.28,10,8,15,2,4,7,75.2,67.3,40.3,27.2,56.2,0.484,7.33,21.7,0.338,13.4,17.8,0.752,7.86,33.4,18,6.28,3.14,10.4,17
59,Columbia,27,13,14,0.481,-5.43,-3.72,4,10,9,6,4,8,77,72.4,40,27.7,59.1,0.469,8.56,22.8,0.375,12.9,17.7,0.732,9.81,35.7,17.4,7.74,2.3,12.2,16.2
